team1_wins,team1_encoded,team2_encoded,team1_won_toss,toss_field,toss_decision_encoded,is_playoff,is_super_over,team1_win_rate,team2_win_rate,win_rate_diff,venue_match_count
Team2_Wins,14,7,1,1,1,0,0,0.488,0.522,-0.034,63
Team2_Wins,11,1,0,0,0,0,0,0.455,0.582,-0.127,35
Team1_Wins,3,12,0,0,0,0,0,0.46,0.511,-0.051,59
Team2_Wins,9,14,1,0,0,0,0,0.552,0.488,0.064,73
Team1_Wins,7,2,0,0,0,0,0,0.522,0.387,0.135,77
Team1_Wins,12,11,0,0,0,0,0,0.511,0.455,0.056,47
Team2_Wins,2,3,1,0,0,0,0,0.387,0.46,-0.073,49
Team1_Wins,1,9,0,1,1,0,0,0.582,0.552,0.03,48
Team2_Wins,2,12,0,1,1,0,0,0.387,0.511,-0.124,49
Team1_Wins,11,9,0,1,1,0,0,0.455,0.552,-0.097,35
Team2_Wins,14,12,0,1,1,0,0,0.488,0.511,-0.023,63
Team1_Wins,1,7,0,0,0,0,0,0.582,0.522,0.06,48
Team2_Wins,9,2,0,1,1,0,0,0.552,0.387,0.165,17
Team1_Wins,11,3,0,0,0,0,0,0.455,0.46,-0.005,35
Team2_Wins,14,1,0,0,0,0,0,0.488,0.582,-0.094,63
Team2_Wins,7,9,1,0,0,0,0,0.522,0.552,-0.03,77
Team1_Wins,3,14,0,1,1,0,0,0.46,0.488,-0.028,59
Team2_Wins,2,11,0,1,1,0,0,0.387,0.455,-0.068,49
Team1_Wins,12,7,1,0,0,0,0,0.511,0.522,-0.011,47
Team2_Wins,1,3,1,0,0,0,0,0.582,0.46,0.122,48
Team1_Wins,11,7,1,0,0,0,0,0.455,0.522,-0.067,35
Team1_Wins,14,2,0,1,1,0,0,0.488,0.387,0.101,63
Team1_Wins,9,3,0,1,1,0,0,0.552,0.46,0.092,17
Team1_Wins,12,1,0,0,0,0,0,0.511,0.582,-0.071,47
Team2_Wins,14,11,0,1,1,0,0,0.488,0.455,0.033,63
Team2_Wins,1,2,0,1,1,0,0,0.582,0.387,0.195,48
Team1_Wins,9,12,1,1,1,0,0,0.552,0.511,0.041,17
Team2_Wins,3,1,0,1,1,0,0,0.46,0.582,-0.122,59
Team1_Wins,7,14,1,0,0,0,0,0.522,0.488,0.034,77
Team1_Wins,12,2,1,1,1,0,0,0.511,0.387,0.124,47
Team1_Wins,1,11,0,1,1,0,0,0.582,0.455,0.127,48
Team2_Wins,2,7,0,0,0,0,0,0.387,0.522,-0.135,49
Team1_Wins,12,3,1,1,1,0,0,0.511,0.46,0.051,47
Team1_Wins,11,14,0,0,0,0,0,0.455,0.488,-0.033,35
Team1_Wins,7,3,1,0,0,0,0,0.522,0.46,0.062,77
Team1_Wins,9,1,1,1,1,0,0,0.552,0.582,-0.03,73
Team1_Wins,3,2,0,1,1,0,0,0.46,0.387,0.073,59
Team1_Wins,9,7,1,1,1,0,0,0.552,0.522,0.03,73
Team2_Wins,3,11,1,0,0,0,0,0.46,0.455,0.005,59
Team1_Wins,12,14,0,1,1,0,0,0.511,0.488,0.023,47
Team2_Wins,2,9,1,1,1,0,0,0.387,0.552,-0.165,49
Team2_Wins,7,1,1,0,0,0,0,0.522,0.582,-0.06,77
Team2_Wins,14,3,0,1,1,0,0,0.488,0.46,0.028,63
Team2_Wins,7,12,0,1,1,0,0,0.522,0.511,0.011,77
Team2_Wins,9,11,1,1,1,0,0,0.552,0.455,0.097,73
Team2_Wins,1,14,0,0,0,0,0,0.582,0.488,0.094,48
Team1_Wins,11,2,1,1,1,0,0,0.455,0.387,0.068,35
Team1_Wins,3,9,1,1,1,0,0,0.46,0.552,-0.092,59
Team2_Wins,1,12,0,0,0,0,0,0.582,0.511,0.071,48
Team2_Wins,2,14,1,0,0,0,0,0.387,0.488,-0.101,49
Team1_Wins,7,11,0,0,0,0,0,0.522,0.455,0.067,77
Team1_Wins,12,9,1,1,1,0,0,0.511,0.552,-0.041,47
Team2_Wins,2,1,1,0,0,0,0,0.387,0.582,-0.195,49
Team2_Wins,14,9,0,1,1,0,0,0.488,0.552,-0.064,63
Team1_Wins,11,12,0,1,1,0,0,0.455,0.511,-0.056,35
Team2_Wins,3,12,1,1,1,0,0,0.46,0.511,-0.051,73
Team1_Wins,1,11,0,0,0,0,0,0.582,0.455,0.127,73
Team2_Wins,1,12,0,1,1,1,0,0.582,0.511,0.071,17
Team2_Wins,1,9,1,1,1,0,0,0.582,0.552,0.03,7
Team1_Wins,14,12,1,0,0,0,0,0.488,0.511,-0.023,7
Team1_Wins,3,11,1,1,1,0,0,0.46,0.455,0.005,7
Team1_Wins,2,7,0,0,0,0,0,0.387,0.522,-0.135,7
Team2_Wins,14,1,0,0,0,0,0,0.488,0.582,-0.094,7
Team2_Wins,11,7,0,1,1,0,0,0.455,0.522,-0.067,15
Team2_Wins,14,2,0,0,0,0,0,0.488,0.387,0.101,7
Team2_Wins,1,3,0,0,0,0,0,0.582,0.46,0.122,15
Team2_Wins,7,12,1,1,1,0,1,0.522,0.511,0.011,7
Team2_Wins,14,11,1,0,0,0,0,0.488,0.455,0.033,15
Team1_Wins,2,9,1,0,0,0,0,0.387,0.552,-0.165,15
Team2_Wins,14,3,1,0,0,0,0,0.488,0.46,0.028,7
Team1_Wins,11,12,1,0,0,0,0,0.455,0.511,-0.056,7
Team2_Wins,1,2,0,1,1,0,0,0.582,0.387,0.195,15
Team2_Wins,7,9,0,0,0,0,0,0.522,0.552,-0.03,7
Team2_Wins,3,12,1,0,0,0,0,0.46,0.511,-0.051,12
Team1_Wins,14,7,0,0,0,0,0,0.488,0.522,-0.034,15
Team1_Wins,11,9,1,0,0,0,0,0.455,0.552,-0.097,15
Team2_Wins,2,3,0,1,1,0,0,0.387,0.46,-0.073,12
Team1_Wins,1,12,0,1,1,0,0,0.582,0.511,0.071,12
Team2_Wins,7,9,0,0,0,0,0,0.522,0.552,-0.03,3
Team1_Wins,14,11,1,0,0,0,0,0.488,0.455,0.033,15
Team2_Wins,2,12,1,0,0,0,0,0.387,0.511,-0.124,7
Team1_Wins,1,3,0,1,1,0,0,0.582,0.46,0.122,8
Team1_Wins,11,7,0,0,0,0,0,0.455,0.522,-0.067,7
Team1_Wins,14,9,0,0,0,0,0,0.488,0.552,-0.064,8
Team1_Wins,1,2,1,0,0,0,0,0.582,0.387,0.195,3
Team2_Wins,11,12,1,1,1,0,0,0.455,0.511,-0.056,15
Team1_Wins,3,7,0,0,0,0,0,0.46,0.522,-0.062,15
Team1_Wins,2,9,1,0,0,0,0,0.387,0.552,-0.165,12
Team2_Wins,14,12,0,1,1,0,0,0.488,0.511,-0.023,12
Team1_Wins,1,11,1,0,0,0,0,0.582,0.455,0.127,12
Team1_Wins,3,9,0,0,0,0,0,0.46,0.552,-0.092,3
Team2_Wins,2,11,0,1,1,0,0,0.387,0.455,-0.068,3
Team1_Wins,1,12,0,0,0,0,0,0.582,0.511,0.071,3
Team2_Wins,14,9,0,0,0,0,0,0.488,0.552,-0.064,7
Team1_Wins,3,7,1,1,1,0,0,0.46,0.522,-0.062,8
Team1_Wins,2,12,1,0,0,0,0,0.387,0.511,-0.124,3
Team1_Wins,14,7,1,1,1,0,0,0.488,0.522,-0.034,12
Team2_Wins,11,9,1,0,0,0,0,0.455,0.552,-0.097,12
Team2_Wins,2,3,1,1,1,0,0,0.387,0.46,-0.073,15
Team1_Wins,14,1,0,0,0,0,0,0.488,0.582,-0.094,15
Team2_Wins,9,12,0,0,0,0,0,0.552,0.511,0.041,15
Team2_Wins,3,11,0,1,1,0,0,0.46,0.455,0.005,2
Team1_Wins,1,9,0,0,0,0,0,0.582,0.552,0.03,7
Team1_Wins,2,7,1,1,1,0,0,0.387,0.522,-0.135,8
Team2_Wins,2,11,1,1,1,0,0,0.387,0.455,-0.068,8
Team1_Wins,3,12,1,0,0,0,0,0.46,0.511,-0.051,2
Team2_Wins,1,7,1,0,0,0,0,0.582,0.522,0.06,12
Team1_Wins,14,3,0,0,0,0,0,0.488,0.46,0.028,8
Team1_Wins,7,12,1,1,1,0,0,0.522,0.511,0.011,15
Team1_Wins,1,11,1,0,0,0,0,0.582,0.455,0.127,15
Team1_Wins,3,9,1,1,1,0,0,0.46,0.552,-0.092,12
Team1_Wins,14,2,1,0,0,0,0,0.488,0.387,0.101,12
Team2_Wins,3,2,0,1,1,0,0,0.46,0.387,0.073,12
Team1_Wins,14,1,1,1,1,0,0,0.488,0.582,-0.094,8
Team2_Wins,14,2,1,1,1,1,0,0.488,0.387,0.101,8
Team2_Wins,2,7,1,1,1,0,0,0.387,0.522,-0.135,17
Team1_Wins,9,12,1,0,0,0,0,0.552,0.511,0.041,10
Team2_Wins,11,3,0,1,1,0,0,0.455,0.46,-0.005,35
Team1_Wins,7,14,1,1,1,0,0,0.522,0.488,0.034,77
Team2_Wins,1,2,0,0,0,0,0,0.582,0.387,0.195,48
Team2_Wins,12,3,0,1,1,0,0,0.511,0.46,0.051,12
Team1_Wins,14,11,0,0,0,0,0,0.488,0.455,0.033,63
Team2_Wins,7,1,0,0,0,0,0,0.522,0.582,-0.06,77
Team2_Wins,3,9,1,1,1,0,0,0.46,0.552,-0.092,59
Team1_Wins,14,12,1,1,1,0,0,0.488,0.511,-0.023,63
Team2_Wins,3,1,1,0,0,0,0,0.46,0.582,-0.122,59
Team1_Wins,2,11,0,1,1,0,0,0.387,0.455,-0.068,7
Team1_Wins,12,7,1,0,0,0,0,0.511,0.522,-0.011,12
Team2_Wins,9,14,1,0,0,0,0,0.552,0.488,0.064,10
Team1_Wins,2,3,1,0,0,0,0,0.387,0.46,-0.073,7
Team2_Wins,1,11,1,1,1,0,1,0.582,0.455,0.127,48
Team1_Wins,9,7,0,0,0,0,0,0.552,0.522,0.03,10
Team1_Wins,14,1,0,1,1,0,0,0.488,0.582,-0.094,63
Team2_Wins,11,12,1,1,1,0,0,0.455,0.511,-0.056,35
Team2_Wins,1,9,0,1,1,0,0,0.582,0.552,0.03,17
Team2_Wins,14,3,1,1,1,0,0,0.488,0.46,0.028,63
Team1_Wins,12,2,0,0,0,0,0,0.511,0.387,0.124,12
Team2_Wins,11,7,0,0,0,0,0,0.455,0.522,-0.067,35
Team1_Wins,12,1,1,0,0,0,0,0.511,0.582,-0.071,12
Team2_Wins,2,9,1,1,1,0,0,0.387,0.552,-0.165,17
Team1_Wins,3,7,1,0,0,0,0,0.46,0.522,-0.062,59
Team1_Wins,9,11,1,1,1,0,0,0.552,0.455,0.097,10
Team1_Wins,1,14,0,0,0,0,0,0.582,0.488,0.094,48
Team1_Wins,3,12,1,0,0,0,0,0.46,0.511,-0.051,59
Team1_Wins,7,2,1,0,0,0,0,0.522,0.387,0.135,77
Team2_Wins,11,14,1,0,0,0,0,0.455,0.488,-0.033,35
Team1_Wins,1,12,1,0,0,0,0,0.582,0.511,0.071,48
Team1_Wins,9,2,1,0,0,0,0,0.552,0.387,0.165,10
Team2_Wins,7,11,1,0,0,0,0,0.522,0.455,0.067,77
Team1_Wins,3,14,1,0,0,0,0,0.46,0.488,-0.028,59
Team2_Wins,2,12,0,0,0,0,0,0.387,0.511,-0.124,3
Team1_Wins,1,9,1,0,0,0,0,0.582,0.552,0.03,48
Team1_Wins,12,11,0,0,0,0,0,0.511,0.455,0.056,47
Team1_Wins,7,3,1,0,0,0,0,0.522,0.46,0.062,77
Team2_Wins,14,2,0,1,1,0,0,0.488,0.387,0.101,63
Team1_Wins,11,9,0,0,0,0,0,0.455,0.552,-0.097,35
Team1_Wins,2,1,0,0,0,0,0,0.387,0.582,-0.195,3
Team1_Wins,14,7,1,1,1,0,0,0.488,0.522,-0.034,63
Team2_Wins,3,11,1,0,0,0,0,0.46,0.455,0.005,59
Team2_Wins,12,9,1,1,1,0,0,0.511,0.552,-0.041,47
Team1_Wins,2,14,0,1,1,0,0,0.387,0.488,-0.101,3
Team1_Wins,9,3,1,0,0,0,0,0.552,0.46,0.092,10
Team1_Wins,1,7,0,0,0,0,0,0.582,0.522,0.06,48
Team2_Wins,12,14,1,0,0,0,0,0.511,0.488,0.023,47
Team2_Wins,1,3,1,0,0,0,0,0.582,0.46,0.122,48
Team2_Wins,11,2,0,1,1,0,0,0.455,0.387,0.068,9
Team2_Wins,14,9,1,1,1,0,0,0.488,0.552,-0.064,63
Team1_Wins,7,12,0,0,0,0,0,0.522,0.511,0.011,77
Team2_Wins,11,1,0,1,1,0,0,0.455,0.582,-0.127,9
Team2_Wins,3,2,0,0,0,0,0,0.46,0.387,0.073,59
Team1_Wins,7,9,0,0,0,0,0,0.522,0.552,-0.03,77
Team2_Wins,14,9,0,0,0,0,0,0.488,0.552,-0.064,17
Team1_Wins,1,2,1,0,0,0,0,0.582,0.387,0.195,17
Team1_Wins,14,2,0,0,0,0,0,0.488,0.387,0.101,17
Team1_Wins,1,9,1,0,0,1,0,0.582,0.552,0.03,17
Team1_Wins,1,7,1,0,0,0,0,0.582,0.522,0.06,48
Team2_Wins,2,12,0,1,1,0,0,0.387,0.511,-0.124,49
Team2_Wins,6,14,1,0,0,0,0,0.429,0.488,-0.059,5
Team2_Wins,3,9,1,0,0,0,0,0.46,0.552,-0.092,59
Team1_Wins,10,11,0,0,0,0,0,0.267,0.455,-0.188,17
Team1_Wins,7,2,1,0,0,0,0,0.522,0.387,0.135,77
Team1_Wins,12,3,0,0,0,0,0,0.511,0.46,0.051,47
Team2_Wins,14,9,0,1,1,0,0,0.488,0.552,-0.064,63
Team1_Wins,11,1,1,1,1,0,0,0.455,0.582,-0.127,35
Team1_Wins,10,6,0,0,0,0,0,0.267,0.429,-0.162,17
Team1_Wins,2,14,0,1,1,0,0,0.387,0.488,-0.101,49
Team2_Wins,12,7,0,1,1,0,0,0.511,0.522,-0.011,47
Team2_Wins,9,6,0,1,1,0,0,0.552,0.429,0.123,73
Team1_Wins,1,14,1,0,0,0,0,0.582,0.488,0.094,48
Team2_Wins,2,11,0,1,1,0,0,0.387,0.455,-0.068,49
Team2_Wins,10,3,0,1,1,0,0,0.267,0.46,-0.193,17
Team1_Wins,7,12,1,1,1,0,0,0.522,0.511,0.011,77
Team1_Wins,6,1,1,1,1,0,0,0.429,0.582,-0.153,5
Team2_Wins,3,2,0,0,0,0,0,0.46,0.387,0.073,59
Team1_Wins,9,10,0,0,0,0,0,0.552,0.267,0.285,73
Team2_Wins,7,6,1,1,1,0,0,0.522,0.429,0.093,77
Team1_Wins,11,12,0,1,1,0,0,0.455,0.511,-0.056,35
Team1_Wins,9,1,0,1,1,0,0,0.552,0.582,-0.03,73
Team2_Wins,7,14,0,1,1,0,0,0.522,0.488,0.034,77
Team1_Wins,3,11,0,1,1,0,0,0.46,0.455,0.005,59
Team2_Wins,2,9,1,1,1,0,0,0.387,0.552,-0.165,49
Team1_Wins,12,6,1,1,1,0,0,0.511,0.429,0.082,47
Team1_Wins,1,10,0,1,1,0,0,0.582,0.267,0.315,48
Team2_Wins,3,14,0,1,1,0,0,0.46,0.488,-0.028,59
Team2_Wins,10,1,1,0,0,0,0,0.267,0.582,-0.315,17
Team2_Wins,6,2,1,1,1,0,0,0.429,0.387,0.042,5
Team2_Wins,3,7,1,1,1,0,0,0.46,0.522,-0.062,59
Team1_Wins,12,9,1,1,1,0,0,0.511,0.552,-0.041,47
Team1_Wins,14,10,0,1,1,0,0,0.488,0.267,0.221,63
Team2_Wins,6,3,0,0,0,0,0,0.429,0.46,-0.031,5
Team1_Wins,7,11,1,1,1,0,0,0.522,0.455,0.067,77
Team1_Wins,12,10,1,1,1,0,0,0.511,0.267,0.244,47
Team1_Wins,1,2,1,0,0,0,0,0.582,0.387,0.195,48
Team1_Wins,9,11,0,1,1,0,0,0.552,0.455,0.097,73
Team2_Wins,3,6,0,1,1,0,0,0.46,0.429,0.031,59
Team2_Wins,2,7,1,1,1,0,0,0.387,0.522,-0.135,49
Team1_Wins,1,12,0,0,0,0,0,0.582,0.511,0.071,48
Team2_Wins,10,9,1,1,1,0,0,0.267,0.552,-0.285,17
Team1_Wins,6,7,0,1,1,0,0,0.429,0.522,-0.093,5
Team2_Wins,2,3,0,1,1,0,0,0.387,0.46,-0.073,49
Team1_Wins,14,11,0,1,1,0,0,0.488,0.455,0.033,63
Team1_Wins,7,1,0,0,0,0,0,0.522,0.582,-0.06,77
Team1_Wins,9,3,0,1,1,0,0,0.552,0.46,0.092,73
Team1_Wins,14,6,0,0,0,0,0,0.488,0.429,0.059,63
Team2_Wins,11,10,1,0,0,0,0,0.455,0.267,0.188,35
Team2_Wins,12,1,1,1,1,0,0,0.511,0.582,-0.071,47
Team2_Wins,2,10,1,0,0,0,0,0.387,0.267,0.12,49
Team1_Wins,11,9,0,1,1,0,0,0.455,0.552,-0.097,35
Team2_Wins,12,14,0,1,1,0,0,0.511,0.488,0.023,47
Team1_Wins,1,3,1,0,0,0,0,0.582,0.46,0.122,48
Team2_Wins,6,11,0,1,1,0,0,0.429,0.455,-0.026,9
Team1_Wins,14,7,1,1,1,0,0,0.488,0.522,-0.034,63
Team2_Wins,9,2,0,0,0,0,0,0.552,0.387,0.165,73
Team1_Wins,11,3,0,1,1,0,0,0.455,0.46,-0.005,9
Team1_Wins,6,12,1,1,1,0,0,0.429,0.511,-0.082,9
Team2_Wins,10,2,0,1,1,0,0,0.267,0.387,-0.12,17
Team1_Wins,11,14,1,0,0,0,0,0.455,0.488,-0.033,9
Team1_Wins,1,6,1,0,0,0,0,0.582,0.429,0.153,48
Team2_Wins,10,7,0,1,1,0,0,0.267,0.522,-0.255,17
Team2_Wins,9,12,1,0,0,0,0,0.552,0.511,0.041,73
Team2_Wins,11,2,1,1,1,0,0,0.455,0.387,0.068,9
Team1_Wins,14,1,1,1,1,0,0,0.488,0.582,-0.094,63
Team2_Wins,7,9,0,1,1,0,0,0.522,0.552,-0.03,77
Team2_Wins,14,1,0,1,1,1,0,0.488,0.582,-0.094,73
Team1_Wins,9,7,1,1,1,0,0,0.552,0.522,0.03,73
Team1_Wins,14,9,0,1,1,1,0,0.488,0.552,-0.064,48
Team1_Wins,1,14,1,0,0,1,0,0.582,0.488,0.094,48
Team2_Wins,1,9,0,1,1,0,0,0.582,0.552,0.03,48
Team2_Wins,7,3,0,1,1,0,0,0.522,0.46,0.062,77
Team2_Wins,9,10,1,1,1,0,0,0.552,0.267,0.285,73
Team1_Wins,12,11,0,1,1,0,0,0.511,0.455,0.056,47
Team1_Wins,14,3,0,1,1,0,0,0.488,0.46,0.028,63
Team2_Wins,2,1,1,1,1,0,0,0.387,0.582,-0.195,13
Team1_Wins,12,7,0,1,1,0,0,0.511,0.522,-0.011,47
Team1_Wins,10,11,1,0,0,0,0,0.267,0.455,-0.188,16
Team2_Wins,2,9,1,0,0,0,0,0.387,0.552,-0.165,13
Team2_Wins,14,7,1,1,1,0,0,0.488,0.522,-0.034,63
Team1_Wins,3,1,1,1,1,0,0,0.46,0.582,-0.122,59
Team1_Wins,9,12,0,1,1,0,0,0.552,0.511,0.041,73
Team1_Wins,1,14,0,0,0,0,0,0.582,0.488,0.094,48
Team1_Wins,11,10,1,1,1,0,0,0.455,0.267,0.188,35
Team1_Wins,7,12,0,0,0,0,0,0.522,0.511,0.011,77
Team1_Wins,10,1,0,0,0,0,0,0.267,0.582,-0.315,16
Team2_Wins,7,11,1,1,1,0,0,0.522,0.455,0.067,77
Team2_Wins,14,12,0,0,0,0,0,0.488,0.511,-0.023,63
Team2_Wins,9,3,0,1,1,0,0,0.552,0.46,0.092,73
Team1_Wins,12,2,0,0,0,0,0,0.511,0.387,0.124,47
Team1_Wins,14,10,0,0,0,0,0,0.488,0.267,0.221,63
Team2_Wins,11,7,1,0,0,0,0,0.455,0.522,-0.067,35
Team1_Wins,3,2,0,0,0,0,0,0.46,0.387,0.073,59
Team1_Wins,1,10,0,1,1,0,0,0.582,0.267,0.315,48
Team2_Wins,11,14,0,1,1,0,0,0.455,0.488,-0.033,35
Team1_Wins,1,12,0,0,0,0,0,0.582,0.511,0.071,48
Team2_Wins,3,10,1,1,1,0,0,0.46,0.267,0.193,59
Team2_Wins,9,11,1,0,0,0,0,0.552,0.455,0.097,73
Team2_Wins,2,7,0,1,1,0,0,0.387,0.522,-0.135,7
Team2_Wins,12,14,1,1,1,0,0,0.511,0.488,0.023,47
Team2_Wins,10,3,1,0,0,0,0,0.267,0.46,-0.193,16
Team2_Wins,11,9,1,0,0,0,0,0.455,0.552,-0.097,35
Team2_Wins,10,2,0,0,0,0,0,0.267,0.387,-0.12,16
Team1_Wins,3,9,0,1,1,0,0,0.46,0.552,-0.092,59
Team2_Wins,1,11,0,0,0,0,0,0.582,0.455,0.127,48
Team1_Wins,7,14,1,0,0,0,0,0.522,0.488,0.034,77
Team1_Wins,3,12,1,0,0,0,0,0.46,0.511,-0.051,59
Team1_Wins,9,2,1,1,1,0,0,0.552,0.387,0.165,73
Team2_Wins,1,7,1,0,0,0,0,0.582,0.522,0.06,48
Team1_Wins,2,10,1,0,0,0,0,0.387,0.267,0.12,7
Team2_Wins,12,3,1,0,0,0,0,0.511,0.46,0.051,47
Team2_Wins,14,11,0,1,1,0,0,0.488,0.455,0.033,63
Team2_Wins,10,9,0,0,0,0,0,0.267,0.552,-0.285,16
Team1_Wins,1,2,1,0,0,0,0,0.582,0.387,0.195,48
Team1_Wins,7,10,1,0,0,0,0,0.522,0.267,0.255,77
Team2_Wins,11,12,0,0,0,0,0,0.455,0.511,-0.056,35
Team1_Wins,9,1,1,1,1,0,0,0.552,0.582,-0.03,73
Team1_Wins,14,2,1,1,1,0,0,0.488,0.387,0.101,63
Team2_Wins,3,7,1,0,0,0,0,0.46,0.522,-0.062,59
Team2_Wins,10,12,1,0,0,0,0,0.267,0.511,-0.244,16
Team2_Wins,2,11,1,1,1,0,0,0.387,0.455,-0.068,49
Team2_Wins,9,14,0,1,1,0,0,0.552,0.488,0.064,73
Team2_Wins,2,3,1,0,0,0,0,0.387,0.46,-0.073,49
Team2_Wins,12,1,0,1,1,0,0,0.511,0.582,-0.071,47
Team2_Wins,10,14,1,1,1,0,0,0.267,0.488,-0.221,16
Team2_Wins,7,9,0,0,0,0,0,0.522,0.552,-0.03,77
Team1_Wins,1,3,1,1,1,0,0,0.582,0.46,0.122,48
Team1_Wins,12,10,1,0,0,0,0,0.511,0.267,0.244,47
Team1_Wins,11,2,0,0,0,0,0,0.455,0.387,0.068,35
Team2_Wins,14,9,0,1,1,0,0,0.488,0.552,-0.064,63
Team2_Wins,7,1,0,1,1,0,0,0.522,0.582,-0.06,77
Team1_Wins,3,11,0,0,0,0,0,0.46,0.455,0.005,59
Team2_Wins,9,7,1,1,1,0,0,0.552,0.522,0.03,73
Team1_Wins,11,1,1,1,1,0,0,0.455,0.582,-0.127,9
Team2_Wins,3,14,1,1,1,0,0,0.46,0.488,-0.028,59
Team1_Wins,2,12,0,0,0,0,0,0.387,0.511,-0.124,49
Team2_Wins,11,3,0,1,1,0,0,0.455,0.46,-0.005,9
Team2_Wins,10,7,0,0,0,0,0,0.267,0.522,-0.255,16
Team1_Wins,2,14,0,1,1,0,0,0.387,0.488,-0.101,49
Team2_Wins,12,9,1,0,0,0,0,0.511,0.552,-0.041,47
Team2_Wins,3,7,0,0,0,1,0,0.46,0.522,-0.062,16
Team1_Wins,1,9,0,1,1,0,0,0.582,0.552,0.03,63
Team2_Wins,3,1,1,1,1,1,0,0.46,0.582,-0.122,48
Team1_Wins,7,1,0,0,0,1,0,0.522,0.582,-0.06,48
Team1_Wins,7,3,1,1,1,0,0,0.522,0.46,0.062,77
Team1_Wins,14,9,0,1,1,0,0,0.488,0.552,-0.064,63
Team1_Wins,15,10,0,1,1,0,0,0.484,0.267,0.217,49
Team2_Wins,3,12,0,0,0,0,0,0.46,0.511,-0.051,59
Team2_Wins,1,9,0,0,0,0,0,0.582,0.552,0.03,48
Team2_Wins,10,11,1,0,0,0,0,0.267,0.455,-0.188,16
Team1_Wins,15,14,0,0,0,0,1,0.484,0.488,-0.004,49
Team1_Wins,12,7,0,1,1,0,0,0.511,0.522,-0.011,47
Team1_Wins,9,3,1,0,0,0,0,0.552,0.46,0.092,73
Team1_Wins,14,15,0,0,0,0,0,0.488,0.484,0.004,63
Team2_Wins,11,1,0,1,1,0,0,0.455,0.582,-0.127,35
Team1_Wins,14,7,1,1,1,0,0,0.488,0.522,-0.034,63
Team1_Wins,10,12,0,0,0,0,0,0.267,0.511,-0.244,16
Team2_Wins,3,15,1,0,0,0,0,0.46,0.484,-0.024,59
Team1_Wins,9,10,1,0,0,0,0,0.552,0.267,0.285,73
Team1_Wins,1,14,1,1,1,0,0,0.582,0.488,0.094,48
Team1_Wins,7,15,1,0,0,0,0,0.522,0.484,0.038,77
Team1_Wins,12,11,1,1,1,0,0,0.511,0.455,0.056,47
Team2_Wins,1,10,0,0,0,0,0,0.582,0.267,0.315,48
Team1_Wins,11,7,0,1,1,0,0,0.455,0.522,-0.067,35
Team1_Wins,14,3,1,1,1,0,1,0.488,0.46,0.028,63
Team2_Wins,10,15,1,1,1,0,0,0.267,0.484,-0.217,22
Team1_Wins,12,9,1,0,0,0,0,0.511,0.552,-0.041,47
Team2_Wins,3,1,0,0,0,0,0,0.46,0.582,-0.122,59
Team1_Wins,15,11,0,0,0,0,0,0.484,0.455,0.029,49
Team2_Wins,7,1,1,0,0,0,0,0.522,0.582,-0.06,77
Team1_Wins,14,12,1,1,1,0,0,0.488,0.511,-0.023,63
Team1_Wins,3,9,0,0,0,0,0,0.46,0.552,-0.092,59
Team1_Wins,11,10,1,1,1,0,0,0.455,0.267,0.188,35
Team1_Wins,1,12,0,0,0,0,0,0.582,0.511,0.071,48
Team1_Wins,14,10,0,1,1,0,0,0.488,0.267,0.221,63
Team2_Wins,3,11,0,1,1,0,0,0.46,0.455,0.005,59
Team2_Wins,7,9,1,0,0,0,0,0.522,0.552,-0.03,77
Team1_Wins,1,15,0,0,0,0,0,0.582,0.484,0.098,48
Team1_Wins,7,11,0,0,0,0,0,0.522,0.455,0.067,77
Team1_Wins,12,15,0,0,0,0,0,0.511,0.484,0.027,47
Team1_Wins,9,14,1,0,0,0,0,0.552,0.488,0.064,73
Team1_Wins,1,7,0,1,1,0,0,0.582,0.522,0.06,48
Team1_Wins,3,10,0,1,1,0,0,0.46,0.267,0.193,6
Team1_Wins,12,14,1,1,1,0,0,0.511,0.488,0.023,47
